name,checkIn,checkOut,date
Quang Tran,08:03,18:02,24/7/2021
Quang Tran,24:00,07:00,25/7/2021
Quang Tran,10:10,19:14,28/6/2021
Quang Tran,07:54,19:01,29/6/2021
Quang Tran,09:37,20:29,30/6/2021
Quang Tran,09:44,15:04,1/7/2021
Quang Tran,08:33,17:46,2/7/2021
Quang Tran,10:15,18:31,3/7/2021
Quang Tran,08:52,15:18,4/7/2021
Quang Tran,07:13,15:36,5/7/2021
Quang Tran,07:52,17:30,6/7/2021
Quang Tran,08:39,18:14,7/7/2021
Quang Tran,10:45,17:40,8/7/2021
Quang Tran,08:40,19:55,9/7/2021
Quang Tran,10:14,20:26,10/7/2021
Quang Tran,10:24,18:56,11/7/2021
Quang Tran,07:29,20:37,12/7/2021
Quang Tran,08:33,17:31,13/7/2021
Quang Tran,07:04,15:45,14/7/2021
Quang Tran,07:34,15:15,15/7/2021
Quang Tran,08:40,18:37,16/7/2021
Quang Tran,09:21,16:35,17/7/2021
Quang Tran,10:12,16:10,18/7/2021
Quang Tran,10:04,15:11,19/7/2021
Quang Tran,07:19,16:55,20/7/2021
Quang Tran,08:27,20:58,21/7/2021
